,company_name,paper_url,authors,title,description,excluded_tags,author_name,exclusion_reason
12,JPMorganChase,/citations?view_op=view_citation&hl=en&user=1kEYRmkAAAAJ&sortby=pubdate&citation_for_view=1kEYRmkAAAAJ:IjCSPb-OGe4C,Yiyun Zhao,how to probe linguistic knowledge and bias,"While most animals have communication systems, few exhibit such high-level of complexity as human languages. One central question of linguistics and cognitive science is to explore what human cognitive underpinnings and learning mechanisms are necessary to master such a complex system. One influential approach is Chomskyan generativism which premises a universal set of linguistic parameters and principles that delimits a range of possible variations (UG) as human inductive biases (Chomsky, 1980). However, the language learnability issue (eg, poverty of stimuli) is made without a specified theory of learning (Pater, 2019). The recent development on typological work (eg, Dunn et al., 2011), psycholinguistic studies (eg, Culbertson and Kirby, 2016), and modern neural networks (eg, Manning et al., 2020a) start to challenge the proposal of a rich linguistic innate endowment.",,,['no_author_name']
13,JPMorganChase,/citations?view_op=view_citation&hl=en&user=1kEYRmkAAAAJ&sortby=pubdate&citation_for_view=1kEYRmkAAAAJ:KlAtU1dfN6UC,"Lavanya Gupta, Saket Sharma, Yiyun Zhao",systematic evaluation of long-context llms on financial concepts,"Long-context large language models (LC LLMs) promise to increase reliability of LLMs in real-world tasks requiring processing and understanding of long input documents. However, this ability of LC LLMs to reliably utilize their growing context windows remains under investigation. In this work, we evaluate the performance of state-of-the-art GPT-4 suite of LC LLMs in solving a series of progressively challenging tasks, as a function of factors such as context length, task difficulty, and position of key information by creating a real world financial news dataset. Our findings indicate that LC LLMs exhibit brittleness at longer context lengths even for simple tasks, with performance deteriorating sharply as task complexity increases. At longer context lengths, these state-of-the-art models experience catastrophic failures in instruction following resulting in degenerate outputs. Our prompt ablations also reveal unfortunate continued sensitivity to both the placement of the task instruction in the context window as well as minor markdown formatting. Finally, we advocate for more rigorous evaluation of LC LLMs by employing holistic metrics such as F1 (rather than recall) and reporting confidence intervals, thereby ensuring robust and conclusive findings.",,,['no_author_name']
15,JPMorganChase,/citations?view_op=view_citation&hl=en&user=1kEYRmkAAAAJ&sortby=pubdate&citation_for_view=1kEYRmkAAAAJ:UeHWp8X0CEIC,"Xin Su, Yiyun Zhao, Steven Bethard",a comparison of strategies for source-free domain adaptation,"Data sharing restrictions are common in NLP, especially in the clinical domain, but there is limited research on adapting models to new domains without access to the original training data, a setting known as source-free domain adaptation. We take algorithms that traditionally assume access to the source-domain training data—active learning, self-training, and data augmentation—and adapt them for source free domain adaptation. Then we systematically compare these different strategies across multiple tasks and domains. We find that active learning yields consistent gains across all SemEval 2021 Task 10 tasks and domains, but though the shared task saw successful self-trained and data augmented models, our systematic comparison finds these strategies to be unreliable for source-free domain adaptation.",,,['no_author_name']
16,JPMorganChase,/citations?view_op=view_citation&hl=en&user=1kEYRmkAAAAJ&sortby=pubdate&citation_for_view=1kEYRmkAAAAJ:W7OEmFMy1HYC,"Yiyun Zhao, Jian Gang Ngui, Lucy Hall Hartley, Steven Bethard",do pretrained transformers infer telicity like humans,"Pretrained transformer-based language models achieve state-of-the-art performance in many NLP tasks, but it is an open question whether the knowledge acquired by the models during pretraining resembles the linguistic knowledge of humans. We present both humans and pretrained transformers with descriptions of events, and measure their preference for telic interpretations (the event has a natural endpoint) or atelic interpretations (the event does not have a natural endpoint). To measure these preferences and determine what factors influence them, we design an English test and a novel-word test that include a variety of linguistic cues (noun phrase quantity, resultative structure, contextual information, temporal units) that bias toward certain interpretations. We find that humans’ choice of telicity interpretation is reliably influenced by theoretically-motivated cues, transformer models (BERT and RoBERTa) are influenced by some (though not all) of the cues, and transformer models often rely more heavily on temporal units than humans do.",,,['no_author_name']
18,JPMorganChase,/citations?view_op=view_citation&hl=en&user=1kEYRmkAAAAJ&sortby=pubdate&citation_for_view=1kEYRmkAAAAJ:WF5omc3nYNoC,"Yiyun Zhao, Jiarong Jiang, Yiqun Hu, Wuwei Lan, Henry Zhu, Anuj Chauhan, Alexander Li, Lin Pan, Jun Wang, Chung-Wei Hang, Sheng Zhang, Marvin Dong, Joe Lilien, Patrick Ng, Zhiguo Wang, Vittorio Castelli, Bing Xiang",importance of synthesizing high-quality data for text-to-sql parsing,"Recently, there has been increasing interest in synthesizing data to improve downstream text-to-SQL tasks. In this paper, we first examined the existing synthesized datasets and discovered that state-of-the-art text-to-SQL algorithms did not further improve on popular benchmarks when trained with augmented synthetic data. We observed two shortcomings: illogical synthetic SQL queries from independent column sampling and arbitrary table joins. To address these issues, we propose a novel synthesis framework that incorporates key relationships from schema, imposes strong typing, and conducts schema-distance-weighted column sampling. We also adopt an intermediate representation (IR) for the SQL-to-text task to further improve the quality of the generated natural language questions. When existing powerful semantic parsers are pre-finetuned on our high-quality synthesized data, our experiments show that these models have significant accuracy boosts on popular benchmarks, including new state-of-the-art performance on Spider.",,,['no_author_name']
19,JPMorganChase,/citations?view_op=view_citation&hl=en&user=1kEYRmkAAAAJ&sortby=pubdate&citation_for_view=1kEYRmkAAAAJ:Y0pCki6q_DkC,"Xin Su, Yiyun Zhao, Steven Bethard","the university of arizona at semeval-2021 task 10: applying self-training, active learning and data augmentation to source-free domain adaptation","This paper describes our systems for negation detection and time expression recognition in SemEval 2021 Task 10, Source-Free Domain Adaptation for Semantic Processing. We show that self-training, active learning and data augmentation techniques can improve the generalization ability of the model on the unlabeled target domain data without accessing source domain data. We also perform detailed ablation studies and error analyses for our time expression recognition systems to identify the source of the performance improvement and give constructive feedback on the temporal normalization annotation guidelines.",,,['no_author_name']
20,JPMorganChase,/citations?view_op=view_citation&hl=en&user=1kEYRmkAAAAJ&sortby=pubdate&citation_for_view=1kEYRmkAAAAJ:hqOjcs7Dif8C,"Saket Sharma, Aviral Joshi, Namrata Mukhija, Yiyun Zhao, Hanoz Bhathena, Prateek Singh, Sashank Santhanam, Pritam Biswas",systematic review of effect of data augmentation using paraphrasing on named entity recognition,"While paraphrasing is a promising approach for data augmentation in classification tasks, its effect on named entity recognition (NER) is not investigated systematically due to the difficulty of span-level label preservation. In this paper, we utilize simple strategies to annotate entity spans in generations and compare established and novel methods of paraphrasing in NLP such as back translation, specialized encoder decoder models such as Pegasus, and GPT-3 variants for their effectiveness in improving downstream performance for NER across different levels of gold annotations and paraphrasing strength on 5 datasets. We also analyze the quality of generated paraphrases based on their entity preservation and paraphrasing language quality. We find that the choice of the paraphraser greatly impacts NER performance, with one of the larger GPT-3 variants exceedingly capable at generating high quality paraphrases, improving performance in most cases, and not hurting others, while other paraphrasers show more mixed results. We also find inline auto annotations generated by larger GPT-3 to be strictly better than heuristic based annotations. We find diminishing benefits of paraphrasing as gold annotations increase for most datasets. While larger GPT-3 variants perform well by both entity preservation and human evaluation of language quality, those two metrics do not necessarily correlate with downstream performance for other paraphrasers.",,,['no_author_name']
21,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:-3_NAp5WSNkC,"Stephanie Milani, Nicholay Topin, Manuela Veloso, Fei Fang",explainable reinforcement learning: a survey and comparative review,"Explainable reinforcement learning (XRL) is an emerging subfield of explainable machine learning that has attracted considerable attention in recent years. The goal of XRL is to elucidate the decision-making process of reinforcement learning (RL) agents in sequential decision-making settings. Equipped with this information, practitioners can better understand important questions about RL agents (especially those deployed in the real world), such as what the agents will do and why. Despite increased interest, there exists a gap in the literature for organizing the plethora of papers — especially in a way that centers the sequential decision-making nature of the problem. In this survey, we propose a novel taxonomy for organizing the XRL literature that prioritizes the RL setting. We propose three high-level categories: feature importance, learning process and Markov decision process, and policy-level. We overview …",,,['no_author_name']
25,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:07QC26MHY14C,"YANG Guang-Zhong, J Bellingham, P Dupont, P Fischer, L Floridi, R Full, N Jacobstein, V Kumar, M McNutt, R Merrifield, B Nelson, B Scassellati, M Taddeo, R Taylor, M Veloso, Z Wang, R Wood",the grand challenges of science robotics,"One of the ambitions of Science Robotics is to deeply root robotics research in science while developing novel robotic platforms that will enable new scientific discoveries. Of our 10 grand challenges, the first 7 represent underpinning technologies that have a wider impact on all application areas of robotics. For the next two challenges, we have included social robotics and medical robotics as application-specific areas of development to highlight the substantial societal and health impacts that they will bring. Finally, the last challenge is related to responsible innovation and how ethics and security should be carefully considered as we develop the technology further.",,,['no_author_name']
26,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:0iM-huCvmk0C,"José Carlos González, Manuela Veloso, Fernando Fernández, Ángel García-Olaya",task monitoring and rescheduling for opportunity and failure management,"The CoBot robots, as other service robots, autonomously navigate in building environments performing different types of tasks that include item transportation and person guiding between locations. The CoBots can execute their planned routes, localize in the environment, avoid obstacles, and ask for help to humans to overcome their actuation limitations. However, they were not able to handle high-level unexpected events during execution, such as interruptions with new task requests that may need a careful analysis of rescheduling trade-offs. Unexpected events can be failures if their influence is on the pending tasks or opportunities if it is on the robot expectations. This work presents a new task-execution, monitoring, and rescheduling architecture, which includes a representation of new task features to be monitored to detect failures and opportunities, as well as a task scheduler to evaluate time and task features constraints. We demonstrate the new features in a task that needs to deliver hot coffee at some time, noting that the coffee gets cold with interruption delays.",,,['no_author_name']
27,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:0kLwNjf3oFwC,"Travers Rhodes, Manuela Veloso",robot-driven trajectory improvement for feeding tasks,"Kinesthetic learning is a type of learning from demonstration in which the teacher manually moves the robot through the demonstrated trajectory. It shows great promise in the area of assistive robotics since it enables a caretaker who is not an expert in computer programming to communicate a novel task to an assistive robot. However, the trajectory the caretaker demonstrates to solve the task may be a high-cost trajectory for the robot. The demonstrated trajectory could be high-cost because the teacher does not know what trajectories are easy or hard for the robot to perform, which would be due to a limitation of the teacher's knowledge, or because the teacher has difficulty moving all the robotic joints precisely along the desired trajectories, which would be due to a limitation of the teacher's coordination. We propose the Parameterized Similar Path Search (PSPS) algorithm to extend kinesthetic learning so that a …",,,['no_author_name']
28,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:0qX8s2k1IRwC,"Anahita Mohseni-Kabir, Manuela M Veloso",robot task interruption by learning to switch among multiple models,"While mobile robots reliably perform each service task by accurately localizing and safely navigating avoiding obstacles, they do not respond in any other way to their surroundings. We can make the robots more responsive to their environment by equipping them with models of multiple tasks and a way to interrupt a specific task and switch to another task based on observations. However the challenges of a multiple task model approach include selecting a task model to execute based on observations and having a potentially large set of observations associated with the set of all individual task models. We present a novel two-step solution. First, our approach leverages the tasks’ policies and an abstract representation of their states, and learns which task should be executed at each given world state. Secondly, the algorithm uses the learned tasks and identifies the observation stimuli that trigger the interruption of one task and the switch to another task. We show that our solution using the switching stimuli compares favorably to the naive approach of learning a combined model for all the tasks. Moreover, leveraging the stimuli significantly decreases the amount of sensory input processing during the execution of tasks.",,,"['no_tags', 'no_author_name']"
29,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:1YatL4jblGcC,"Rui Silva, Miguel Faria, Francisco S Melo, Manuela Veloso",adaptive indirect control through communication in collaborative human-robot interaction,"This paper addresses the problem of human-robot collaboration in scenarios where a robot assists a human by executing a complex motion involving the manipulation of an object. We focus on tasks in which success in the task depends on reaching a target pose that is controlled by the human. We contribute a reinforcement learning-based approach that allows the robot to reason about its own ability to successfully complete the task given the current target pose and indirectly adjust that pose by prompting the human user. Our approach allows the robot both to trade-off the benefits of adjusting the target position against the cost of bothering the human user while, at the same time, adapting to each user's responses. Our approach was tested in a real-world human-robot collaboration scenario involving the Baxter robot.",,,['no_author_name']
30,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:2BeMVx_SZpEC,"Mattia Jacopo Villani, Emanuele Albini, Shubham Sharma, Saumitra Mishra, Salim Ibrahim Amoukou, Daniele Magazzeni, Manuela Veloso",pice: polyhedral complex informed counterfactual explanations,"Polyhedral geometry can be used to shed light on the behaviour of piecewise linear neural networks, such as ReLU-based architectures. Counterfactual explanations are a popular class of methods for examining model behaviour by comparing a query to the closest point with a different label, subject to constraints. We present a new algorithm, Polyhedral-complex Informed Counterfactual Explanations (PICE), which leverages the decomposition of the piecewise linear neural network into a polyhedral complex to find counterfactuals that are provably minimal in the Euclidean norm and exactly on the decision boundary for any given query. Moreover, we develop variants of the algorithm that target popular counterfactual desiderata such as sparsity, robustness, speed, plausibility, and actionability. We empirically show on four publicly available real-world datasets that our method outperforms other popular techniques to find counterfactuals and adversarial attacks by distance to decision boundary and distance to query. Moreover, we successfully improve our baseline method in the dimensions of the desiderata we target, as supported by experimental evaluations.",,,['no_author_name']
31,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:3K1WWmVGZRgC,Taylor Annette Kessler Faulkner,learning robot policies from imperfect human teachers,"The ability to adapt and learn can help robots deployed in dynamic and varied environments. While in the wild, the data that robots have access to includes input from their sensors and the humans around them. The ability to utilize human data increases the usable information in the environment. However, human data can be noisy, particularly when acquired from non-experts. Rather than requiring expert teachers for learning robots, which is expensive, my research addresses methods for learning from imperfect human teachers. These methods use Human-in-the-loop Reinforcement Learning, which gives robots a reward function and input from human teachers. This dissertation shows that actively modifying which states receive feedback from imperfect, unmodeled human teachers can improve the speed and dependability of Human-In-the-loop Reinforcement Learning (HRL). This body of work addresses a bipartite model of imperfect teachers, in which humans can be inattentive or inaccurate. First, I present two algorithms for learning from inattentive teachers, which take advantage of intermittent attention from humans by adjusting state-action exploration to improve the learning speed of a Markovian HRL algorithm and give teachers more free time to complete other tasks. Second, I present two algorithms for learning from inaccurate teachers who give incorrect information to a robot. These algorithms estimate areas of the state space that are likely to receive incorrect feedback from human teachers, and can be used to filter messy, inaccurate data into information that is usable by a robot, performing dependably over a wide variety of inputs …",,,['no_author_name']
32,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:3WNXLiBY60kC,"Juan Pablo Mendoza, Joydeep Biswas, Danny Zhu, Richard Wang, Philip Cooksey, Steven Klee, Manuela Veloso",cmdragons 2016 extended team description paper,"The CMDragons Small Size League (SSL) team won all of its 6 games at RoboCup 2015, scoring a total of 48 goals and conceding 0. This paper presents the core coordination algorithms in offense and defense that enabled such successful performance. We first describe the coordinated plays layer that distributes the team’s robots into offensive and defensive subteams. We then describe the offense and defense coordination algorithms to control these subteams. Effective coordination enables our robots to attain a remarkable level of team-oriented gameplay, persistent offense, and reliability during regular gameplay, shifting our strategy away from stopped ball plays. We support these statements and the effectiveness of our algorithms with statistics from our performance at RoboCup 2015.",,,"['no_tags', 'no_author_name']"
33,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:3s2jc9hNhkQC,"Anahita Mohseni-Kabir, Manuela Veloso, Maxim Likhachev",optimal planning over long and infinite horizons for achieving independent partially-observable tasks that evolve over time,"We focus on long-sighted planning for a class of problems with multiple independent tasks that are partially observable and evolve over time. An example problem that falls into this class is a robot waiting multiple tables, referred to as tasks, in a restaurant where customers' satisfaction is partially observable and evolves over time. Our recent work exploits the structure found in these problems, namely the independence between the tasks, to optimally and efficiently plan for a short fixed planning horizon. Selecting the right planning horizon can be challenging since an overly short horizon may result in a low-quality solution while supporting a longer horizon quickly becomes computationally impractical. In this paper, we address this challenge. In particular, we extend the recent work to provide efficient planning over long fixed-length horizons without discounting and infinite-length horizons with discounting. The key …",,,['no_author_name']
34,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:43B52WW2E64C,"Rui Silva, Francisco S Melo, Manuela Veloso",adaptive symbiotic collaboration for targeted complex manipulation tasks,"This paper addresses the problem of human-robot collaboration in the context of manipulation tasks. In particular, we focus on tasks where a robot must perform some complex manipulation that is successfully completed only upon reaching some target pose provided by a human user. We propose an approach in which the robot explicitly reasons about its ability to complete the task and proactively requests the assistance of the human teammate when necessary. Our approach effectively trades-off the benefits arising from the human assistance with the cost of disturbing the user. We also propose an adaptation mechanism that enables the robot to adjust its behavior to the particular manner by which the human user responds to the requests made by the robot. We test our approach in a simple illustrative scenario and in two real interaction scenarios involving the Baxter robot.",,,['no_author_name']
35,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:4WewbtJKmRkC,"Nerea Luis, Tiago Pereira, Susana Fernández, António Moreira, Daniel Borrajo, Manuela Veloso",using pre-computed knowledge for goal allocation in multi-agent planning," Many real-world robotic scenarios require performing task planning to decide courses of actions to be executed by (possibly heterogeneous) robots. A classical centralized planning approach has to find a solution inside a search space that contains every possible combination of robots and goals. This leads to inefficient solutions that do not scale well. Multi-Agent Planning (MAP) provides a new way to solve this kind of tasks efficiently. Previous works on MAP have proposed to factorize the problem to decrease the planning effort i.e. dividing the goals among the agents (robots). However, these techniques do not scale when the number of agents and goals grow. Also, in most real world scenarios with big maps, goals might not be reached by every robot so it has a computational cost associated. In this paper we propose a combination of robotics and planning techniques to alleviate and boost the …",,,['no_author_name']
36,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:4uoR24qA-WYC,"Daniele Nardi, Jonathan Roberts, Manuela Veloso, Luke Fletcher",robotics competitions and challenges," This chapter explores the use of competitions to accelerate robotics research and promote science, technology, engineering, and mathematics (STEM) education. We argue that the field of robotics is particularly well suited to innovation through competitions. Two broad categories of robot competition are used to frame the discussion: human-inspired competitions and task-based challenges. Human-inspired robot competitions, of which the majority are sports contests, quickly move through platform development to focus on problem solving and test through game play. Task-based challenges attempt to attract participants by presenting a high aim for a robotic system. The contest can then be tuned, as required, to maintain motivation and ensure that the progress is made. Three case studies of robot competitions are presented, namely robot soccer, the UAV challenge, and the DARPA (Defense Advanced …",,,['no_author_name']
37,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:5F1dSjz1ScoC,"Vidal Alcázar, Susana Fernández, Daniel Borrajo, Manuela Veloso",using random sampling trees for automated planning,"Rapidly-exploring Random Trees (RRTs) are data structures and search algorithms designed to be used in continuous path planning problems. They are one of the most successful state-of-the-art techniques in motion planning, as they offer a great degree of flexibility and reliability. However, their use in other fields in which search is a commonly used approach has not been thoroughly analyzed. In this work we propose the use of RRTs as a search algorithm for automated planning. We analyze the advantages and disadvantages that this approach has over previously used search algorithms and the challenges of adapting RRTs for implicit and discrete search spaces.",,,['no_author_name']
